OrderDetailID,OrderID,Product_ID,Quantity,CustomerID,EmployeeID,OrderDate,ShipperID,Product_Name,SupplierID,CategoryID,ProductDescription,ProductPrice,CategoryName,Description,CustomerName,ContactName,Address,City,PostalCode,Country,ShipperName,Phone
1,10248,11,12,90,5,1996-07-04,3,Queso Cabrales,5,4,1 kg pkg.,21.0,Dairy Products,Cheeses,Wilman Kala,Matti Karttunen,Keskuskatu 45,Helsinki,21240,Finland,Federal Shipping,(503) 555-9931
2,10248,42,10,90,5,1996-07-04,3,Singaporean Hokkien Fried Mee,20,5,32 - 1 kg pkgs.,14.0,Grains/Cereals,"Breads, crackers, pasta, and cereal",Wilman Kala,Matti Karttunen,Keskuskatu 45,Helsinki,21240,Finland,Federal Shipping,(503) 555-9931
3,10248,72,5,90,5,1996-07-04,3,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,Dairy Products,Cheeses,Wilman Kala,Matti Karttunen,Keskuskatu 45,Helsinki,21240,Finland,Federal Shipping,(503) 555-9931
4,10249,14,9,81,6,1996-07-05,1,Tofu,6,7,40 - 100 g pkgs.,23.25,Produce,Dried fruit and bean curd,Tradição Hipermercados,Anabela Domingues,"Av. Inês de Castro, 414",São Paulo,05634-030,Brazil,Speedy Express,(503) 555-9831
5,10249,51,40,81,6,1996-07-05,1,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,Produce,Dried fruit and bean curd,Tradição Hipermercados,Anabela Domingues,"Av. Inês de Castro, 414",São Paulo,05634-030,Brazil,Speedy Express,(503) 555-9831
6,10250,41,10,34,4,1996-07-08,2,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,Seafood,Seaweed and fish,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,United Package,(503) 555-3199
7,10250,51,35,34,4,1996-07-08,2,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,53.0,Produce,Dried fruit and bean curd,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,United Package,(503) 555-3199
8,10250,65,15,34,4,1996-07-08,2,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,United Package,(503) 555-3199
9,10251,22,6,84,3,1996-07-08,1,Gustaf's Knäckebröd,9,5,24 - 500 g pkgs.,21.0,Grains/Cereals,"Breads, crackers, pasta, and cereal",Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,Speedy Express,(503) 555-9831
10,10251,57,15,84,3,1996-07-08,1,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,Grains/Cereals,"Breads, crackers, pasta, and cereal",Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,Speedy Express,(503) 555-9831
11,10251,65,20,84,3,1996-07-08,1,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,21.05,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,Speedy Express,(503) 555-9831
12,10252,20,40,76,4,1996-07-09,2,Sir Rodney's Marmalade,8,3,30 gift boxes,81.0,Confections,"Desserts, candies, and sweet breads",Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,United Package,(503) 555-3199
13,10252,33,25,76,4,1996-07-09,2,Geitost,15,4,500 g,2.5,Dairy Products,Cheeses,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,United Package,(503) 555-3199
14,10252,60,40,76,4,1996-07-09,2,Camembert Pierrot,28,4,15 - 300 g rounds,34.0,Dairy Products,Cheeses,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,United Package,(503) 555-3199
15,10253,31,20,34,3,1996-07-10,2,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5,Dairy Products,Cheeses,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,United Package,(503) 555-3199
16,10253,39,42,34,3,1996-07-10,2,Chartreuse verte,18,1,750 cc per bottle,18.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,United Package,(503) 555-3199
17,10253,49,40,34,3,1996-07-10,2,Maxilaku,23,3,24 - 50 g pkgs.,20.0,Confections,"Desserts, candies, and sweet breads",Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,United Package,(503) 555-3199
18,10254,24,15,14,5,1996-07-11,2,Guaraná Fantástica,10,1,12 - 355 ml cans,4.5,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,United Package,(503) 555-3199
19,10254,55,21,14,5,1996-07-11,2,Pâté chinois,25,6,24 boxes x 2 pies,24.0,Meat/Poultry,Prepared meats,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,United Package,(503) 555-3199
20,10254,74,21,14,5,1996-07-11,2,Longlife Tofu,4,7,5 kg pkg.,10.0,Produce,Dried fruit and bean curd,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,United Package,(503) 555-3199
21,10255,2,20,68,9,1996-07-12,3,Chang,1,1,24 - 12 oz bottles,19.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Federal Shipping,(503) 555-9931
22,10255,16,35,68,9,1996-07-12,3,Pavlova,7,3,32 - 500 g boxes,17.45,Confections,"Desserts, candies, and sweet breads",Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Federal Shipping,(503) 555-9931
23,10255,36,25,68,9,1996-07-12,3,Inlagd Sill,17,8,24 - 250 g jars,19.0,Seafood,Seaweed and fish,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Federal Shipping,(503) 555-9931
24,10255,59,30,68,9,1996-07-12,3,Raclette Courdavault,28,4,5 kg pkg.,55.0,Dairy Products,Cheeses,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Federal Shipping,(503) 555-9931
25,10256,53,15,88,3,1996-07-15,2,Perth Pasties,24,6,48 pieces,32.8,Meat/Poultry,Prepared meats,Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,United Package,(503) 555-3199
26,10256,77,12,88,3,1996-07-15,2,Original Frankfurter grüne Soße,12,2,12 boxes,13.0,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,United Package,(503) 555-3199
27,10257,27,25,35,4,1996-07-16,3,Schoggi Schokolade,11,3,100 - 100 g pieces,43.9,Confections,"Desserts, candies, and sweet breads",HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Federal Shipping,(503) 555-9931
28,10257,39,6,35,4,1996-07-16,3,Chartreuse verte,18,1,750 cc per bottle,18.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Federal Shipping,(503) 555-9931
29,10257,77,15,35,4,1996-07-16,3,Original Frankfurter grüne Soße,12,2,12 boxes,13.0,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Federal Shipping,(503) 555-9931
30,10258,2,50,20,1,1996-07-17,1,Chang,1,1,24 - 12 oz bottles,19.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831
31,10258,5,65,20,1,1996-07-17,1,Chef Anton's Gumbo Mix,2,2,36 boxes,21.35,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831
32,10258,32,6,20,1,1996-07-17,1,Mascarpone Fabioli,14,4,24 - 200 g pkgs.,32.0,Dairy Products,Cheeses,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831
33,10259,21,10,13,4,1996-07-18,3,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,10.0,Confections,"Desserts, candies, and sweet breads",Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,México D.F.,5022,Mexico,Federal Shipping,(503) 555-9931
34,10259,37,1,13,4,1996-07-18,3,Gravad lax,17,8,12 - 500 g pkgs.,26.0,Seafood,Seaweed and fish,Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,México D.F.,5022,Mexico,Federal Shipping,(503) 555-9931
35,10260,41,16,55,4,1996-07-19,1,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.65,Seafood,Seaweed and fish,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Speedy Express,(503) 555-9831
36,10260,57,50,55,4,1996-07-19,1,Ravioli Angelo,26,5,24 - 250 g pkgs.,19.5,Grains/Cereals,"Breads, crackers, pasta, and cereal",Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Speedy Express,(503) 555-9831
37,10260,62,15,55,4,1996-07-19,1,Tarte au sucre,29,3,48 pies,49.3,Confections,"Desserts, candies, and sweet breads",Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Speedy Express,(503) 555-9831
38,10260,70,21,55,4,1996-07-19,1,Outback Lager,7,1,24 - 355 ml bottles,15.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Speedy Express,(503) 555-9831
39,10261,21,20,61,4,1996-07-19,2,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,10.0,Confections,"Desserts, candies, and sweet breads",Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,United Package,(503) 555-3199
40,10261,35,20,61,4,1996-07-19,2,Steeleye Stout,16,1,24 - 12 oz bottles,18.0,Beverages,"Soft drinks, coffees, teas, beers, and ales",Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,United Package,(503) 555-3199
41,10262,5,12,65,8,1996-07-22,3,Chef Anton's Gumbo Mix,2,2,36 boxes,21.35,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Federal Shipping,(503) 555-9931
42,10262,7,15,65,8,1996-07-22,3,Uncle Bob's Organic Dried Pears,3,7,12 - 1 lb pkgs.,30.0,Produce,Dried fruit and bean curd,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Federal Shipping,(503) 555-9931
43,10262,56,2,65,8,1996-07-22,3,Gnocchi di nonna Alice,26,5,24 - 250 g pkgs.,38.0,Grains/Cereals,"Breads, crackers, pasta, and cereal",Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Federal Shipping,(503) 555-9931
44,10263,16,60,20,9,1996-07-23,3,Pavlova,7,3,32 - 500 g boxes,17.45,Confections,"Desserts, candies, and sweet breads",Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Federal Shipping,(503) 555-9931
